No,Project Name,Municipality,Sector,Currency,Amount,YearStart,YearEnd_original,Funding/Donor,Implementing Partner,Status_original,SDGs_Alignment,NSDP_Alignment,YearEnd,Donor,Implementing Agency,Status,Budget,level_areas,Category,budget_clean
480,"Basic Education -School meals at elementary school; Management of staff; Logistical support school activities; Effectiveness of teaching, learning process",Liquica,Education,USD,"1,729,161.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1729161.0,Municipality,Other,1729161.0
481,Recurrent Education - Achieving adult literacy,Liquica,Education,USD,"17,680.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,17680.0,Municipality,Other,17680.0
482,Primary Health Care - Health personnel management; Logistical support to health delivery activities,Liquica,Health,USD,"248,243.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,248243.0,Municipality,Other,248243.0
483,Water and Sanitation - Protection of water sources and supply systems; Conservation and repair of wastewater drainage systems in settlements,Liquica,Water and Sanitation,USD,"149,487.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,149487.0,Municipality,Other,149487.0
484,Social Inclusion - Public funeral service; Monitoring the activities of existing solidarity institutions; Food and non food support to the most vulnerable	,Liquica,Gender Equality/Equality and Inclusion,USD,"102,741.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,102741.0,Municipality,Other,102741.0
485,"Tourism - Metrological control, measurement, weighing instruments and inspection of industrial and service activities; Community-based Tourism	",Liquica,"Tourism, Recreation, and Sport",USD,"47,471.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,47471.0,Municipality,Other,47471.0
486,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Liquica,Economic development,USD,"1,565.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,1565.0,Municipality,Other,1565.0
487,"Agriculture, Horticulture, Coffee, and Indrustrial Plants - Use of water resources for agricultural purposes; Food Security Policy; Production and Productivity",Liquica,Agriculture,USD,"341,582.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,341582.0,Municipality,Other,341582.0
488,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Liquica,Agriculture,USD,"6,900.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,6900.0,Municipality,Other,6900.0
489,Local Development - The National Program for Village Development PNDS,Manatuto,PNDS,USD,"1,128,772.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,1128772.0,Municipality,Other,1128772.0
490,"Administrative Decentralization - Barique, Laleia, Laclo, Laclubar, Manatuto, Soibada",Manatuto,Governance/Decentralization,USD,"36,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,36000.0,Municipality,Other,36000.0
491,Municipal Integrated Development Planning,Manatuto,PDIM,USD,"950,900.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,950900.0,Municipality,Other,950900.0
492,Roads and Bridges - Construction of Roads and Bridges; Maintenance and Conservation of Roads and Bridges,Manatuto,Construction,USD,"18,444.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,18444.0,Municipality,Other,18444.0
493,"National Security - Collecting, disseminating information on natural disaster; Management of Disaster Risks	",Manatuto,Climate Change and Disaster Risk,USD,"54,645.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,54645.0,Municipality,Other,54645.0
494,Access to Justice - Cadastral Services,Manatuto,Access to Justice,USD,"8,340.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,8340.0,Municipality,Other,8340.0
495,Institutional Functioning - Planning strategic development and policy guidance; Subsidies for community leaders; Strengthen of Suco administration,Manatuto,Local Development,USD,"857,203.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,857203.0,Municipality,Other,857203.0
496,Institutional Development - Human Resource Management; Asset management and Logistics; Administrative Management and Finance,Manatuto,Institutional Development,USD,"3,135,458.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,3135458.0,Municipality,Other,3135458.0
497,Pre-School Education - Implementation of the teaching and learning process at preschool; Provision of school meals at pre-school level,Manatuto,Education,USD,"91,801.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,91801.0,Municipality,Other,91801.0
498,Basic Education - Effective teaching and learning process at elementary school level; School meals at elementary school; Logistical support for teaching,Manatuto,Education,USD,"1,002,215.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1002215.0,Municipality,Other,1002215.0
499,Primary Health Care - Promotion of Health Education; Comprehensive Health Services; Maternal and Child Health,Manatuto,Health,USD,"36,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,36000.0,Municipality,Other,36000.0
500,Water and Sanitation - Management of drinking water supply systems; Management and treatment of solid urban waste; Management of gardens,Manatuto,Water and Sanitation,USD,"39,866.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,39866.0,Municipality,Other,39866.0
501,Social Inclusion - Public funeral service; Provision of food and non food support to tmost vulnerable; Effective public awareness campaigns- domestic violence,Manatuto,Gender Equality/Equality and Inclusion,USD,"91,350.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,91350.0,Municipality,Other,91350.0
502,Tourism - Development of Community-based Tourism,Manatuto,"Tourism, Recreation, and Sport",USD,"1,666.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,1666.0,Municipality,Other,1666.0
503,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Manatuto,Economic development,USD,"19,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,19000.0,Municipality,Other,19000.0
504,Sustainable Increase in Production and Productivity - Food Security Monitoring and Surveillance,Manatuto,Agriculture,USD,"3,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,3000.0,Municipality,Other,3000.0
505,"Agriculture, Horticulture, Coffee, and Indrustrial Plants - Use of water resources for agricultural purposes; Food Security Policy; Production and Productivity",Manatuto,Agriculture,USD,"60,039.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,60039.0,Municipality,Other,60039.0
506,Local Development - The National Program for Village Development PNDS,Manufahi,PNDS,USD,"1,186,567.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,1186567.0,Municipality,Other,1186567.0
507,"Administrative Decentralization - Same, Alas, Fatuberlio, Turiscaio",Manufahi,Governance/Decentralization,USD,"9,500.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,9500.0,Municipality,Other,9500.0
508,Municipal Integrated Development Planning,Manufahi,PDIM,USD,"940,701.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,940701.0,Municipality,Other,940701.0
509,Roads and Bridges - Monitoring and technical assistance for the maintenance and conservation of roads and bridges,Manufahi,Construction,USD,"172,943.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,172943.0,Municipality,Other,172943.0
510,National Security - Provision of emergency support to populations affected by the occurrence of natural disasters,Manufahi,Climate Change and Disaster Risk,USD,"40,240.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,40240.0,Municipality,Other,40240.0
511,Access to Justice - Organization of the municipal cadastre and building registration of rural buildings and urban buildings,Manufahi,Access to Justice,USD,"34,266.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,34266.0,Municipality,Other,34266.0
512,Institutional Functioning - Planning strategic development and policy guidance; Subsidies for community leaders; Strengthen of Suco administration,Manufahi,Local Development,USD,"873,522.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,873522.0,Municipality,Other,873522.0
513,Institutional Development - Human Resource Management; Asset management and Logistics; Administrative Management and Finance,Manufahi,Local Development,USD,"1,662,151.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,1662151.0,Municipality,Other,1662151.0
514,Pre-School Education - Provision of school meals at pre-school level; Implementation of school subsidies at preschool level,Manufahi,Education,USD,"414,020.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,414020.0,Municipality,Other,414020.0
515,Basic Education - Logistical support for teaching and learning activities; School meals at the primary level;Effectiveness of the teaching and learning,Manufahi,Education,USD,"1,224,547.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1224547.0,Municipality,Other,1224547.0
516,Primary Health Care - Health personnel management; Logistical support to health delivery activities,Manufahi,Health,USD,"378,052.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,378052.0,Municipality,Other,378052.0
517,Water and Sanitation - Protection of drinking water sources and supply systems,Manufahi,Water and Sanitation,USD,"129,866.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,129866.0,Municipality,Other,129866.0
518,Social Inclusion - Providing public funeral services; Effective information and public awareness campaigns for the eradication of domestic violence	,Manufahi,Gender Equality/Equality and Inclusion,USD,"81,789.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,81789.0,Municipality,Other,81789.0
519,Tourism - Promote the image of the municipality as a tourist destination,Manufahi,"Tourism, Recreation, and Sport",USD,"107,226.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,107226.0,Municipality,Other,107226.0
520,"Agriculture Horticulture Coffee - Coordination of extension activities, Agri mechanization; Implementation of the Food Security Policy; Agro-industrial initiatives",Manufahi,Agriculture,USD,"446,081.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,446081.0,Municipality,Other,446081.0
532,Local Development - The National Program for Village Development PNDS,Viqueque,PNDS,USD,"1,671,899.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1671899.0,Municipality,Other,1671899.0
533,"Administrative Development - Lacluta, Uatulari, Ossu, Uatu Carbau, Viqueque",Viqueque,Governance/Decentralization,USD,"51,910.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,51910.0,Municipality,Other,51910.0
534,Municipal Integrated Development Planning,Viqueque,Local Development,USD,"1,391,577.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,1391577.0,Municipality,Other,1391577.0
535,"Roads and Bridges - Maintenance, repair of roads bridges, drainage systems; Human Resources Management; Parks, Gardens and public cemeteries; Parking	",Viqueque,Infrastructure,USD,"186,249.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,186249.0,Municipality,Other,186249.0
536,National Security - Mitigation of natural Disasters; Distribution of recovery support to populations affected by the occurrence of natural disasters,Viqueque,Climate Change and Disaster Risk,USD,"88,436.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,88436.0,Municipality,Other,88436.0
537,"Access to Justice - Identification of rural, urban buildingsof the State and promoted regularization; Organization of the municipal cadastre",Viqueque,Access to Justice,USD,"77,390.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,77390.0,Municipality,Other,77390.0
538,Institutional Functioning - Planning strategic development and policy guidance; Subsidies for community leaders; Strengthen of Suco administration,Viqueque,Local Development,USD,"1,474,456.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,1474456.0,Municipality,Other,1474456.0
539,Institutional Development - Human Resource Management; Asset management and Logistics; Administrative Management and Finance,Viqueque,Institutional Development,USD,"2,258,223.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,2258223.0,Municipality,Other,2258223.0
540,Pre-School Education - Implementation of school subsidies at preschool level; Provision of school meals at pre-school level,Viqueque,Education,USD,"507,344.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,507344.0,Municipality,Other,507344.0
541,Basic Education - Provision of school meals at the primary level; Effectiveness of the teaching and learning process at the level of basic education,Viqueque,Education,USD,"1,079,501.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,1079501.0,Municipality,Other,1079501.0
542,Primary Health - Health personnel management; Logistical support to health delivery activities; Maternal and Child Care; SISCA Program and Family Health,Viqueque,Health,USD,"337,034.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,337034.0,Municipality,Other,337034.0
543,Water and Sanitation - Management of drinking water supply systems; Protection of drinking water sources and supply systems,Viqueque,Water and Sanitation,USD,"147,873.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,147873.0,Municipality,Other,147873.0
544,Social Inclusion - Public funeral service; Monitoring the activities of existing solidarity institutions; Providing public funeral services,Viqueque,Gender Equality/Equality and Inclusion,USD,"107,503.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,107503.0,Municipality,Other,107503.0
545,Tourism - Market management and fair authorization,Viqueque,"Tourism, Recreation, and Sport",USD,"65,355.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,65355.0,Municipality,Other,65355.0
546,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Viqueque,Economic development,USD,"4,900.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,4900.0,Municipality,Other,4900.0
547,"Agriculture, Horticulture, Coffee, and Indrustrial Plants - Use of water resources for agricultural purposes; Food Security Policy; Production and Productivity",Viqueque,Agriculture,USD,"555,570.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,555570.0,Municipality,Other,555570.0
548,"Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control: Industrialization, Commercialization",Viqueque,Agriculture,USD,"17,320.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,17320.0,Municipality,Other,17320.0
549,Sustainable Management of Forest Resources - Conservation and Protection of Forest Resources,Viqueque,Agriculture,USD,"4,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,4000.0,Municipality,Other,4000.0
550,"Culture and Heritage - Preservation Conservation and Promotion of Tangible, Intangible Cultural Heritage; Promote support for Cultural Groups",Oecusse,"Tourism, Recreation, and Sport",USD,"18,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,18000.0,Municipality,Other,18000.0
551,"Rural and Urban Development - Develop, Implement the toponomy system; Manage, Prepare policies opinions and information; Support for cooperatives",Oecusse,Local Development,USD,"35,508.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,35508.0,Municipality,Other,35508.0
552,National Security - Support for post disaster recovery; Prevention preparedness and mitigation of disaster risks,Oecusse,Climate Change and Disaster Risk,USD,"32,500.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,32500.0,Municipality,Other,32500.0
553,Access to Justice - Management of the State; Management of Disputes Conflicts mediation; Management of Civil and Criminal Record Services,Oecusse,Access to Justice,USD,"1,481,189.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,1481189.0,Municipality,Other,1481189.0
554,Transports - Coordination and management of transport and communications,Oecusse,Transport,USD,"146,700.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,146700.0,Municipality,Other,146700.0
555,"Institutional Functioning - Integrated gender approach; Inspection, Supervision, Audit; Functioning of the Executive Committee; Research",Oecusse,Local Development,USD,"193,138.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,193138.0,Municipality,Other,193138.0
556,Institutional Development - Human Resource Management; Asset management and Logistics; Administrative Management and Finance; Procurement,Oecusse,Institutional Development,USD,"20,765,789.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,20765789.0,Municipality,Other,20765789.0
557,Partnerships - Financial support for civil society producer associations and cooperatives; Partnership with UNDP,Oecusse,Local Development,USD,"504,679.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,504679.0,Municipality,Other,504679.0
558,"Administrative Development - Subsidies for Community Leaders; Establishing New Sub villages, Villages; Transforming four subregion into two municipalities",Oecusse,Governance/Decentralization,USD,"649,395.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,649395.0,Municipality,Other,649395.0
559,Public Human Resources Capaticy - Non gradual education,Oecusse,Institutional Development,USD,"29,480.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,29480.0,Municipality,Other,29480.0
560,Pre-School Education - Provision of school meals at pre-school level; Continuous training; Specialized training; Implementation of school subsidies,Oecusse,Education,USD,"74,540.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,74540.0,Municipality,Other,74540.0
561,Basic Education - School meals; Effectiveness of the teaching and learning process at the level of basic education; Implementation of school subsidies,Oecusse,Education,USD,"1,436,608.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1436608.0,Municipality,Other,1436608.0
562,"Secondary Education - ESG school designs; ESTV School Conceptions; Coordination, Management of educational programs; Continuing training	",Oecusse,Education,USD,"77,100.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,77100.0,Municipality,Other,77100.0
563,Recurrent Education - Implementation of National Basic Education equivalency program; Implementation of Literacy and Community Learning Center CCA	,Oecusse,Education,USD,"4,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,4000.0,Municipality,Other,4000.0
564,"Primary Health Care - Manage environmental health; Program SISCA; Maternal, Child Care; Disease Controls; Nutrition",Oecusse,Health,USD,"26,225.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,26225.0,Municipality,Other,26225.0
565,Secondary and Tertiary Health Care - Purchase of medicines and medical consumables; Strengthening Service Management and clinical nutrition,Oecusse,Health,USD,"757,222.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,757222.0,Municipality,Other,757222.0
566,Water and Sanitation - Community water management,Oecusse,Water and Sanitation,USD,"7,250.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,7250.0,Municipality,Other,7250.0
567,"Development, Strengthening of Areas with Special Administration - Financing of Multiannual Social, Economic projects in the REAOA; Modernize Supply Chain",Oecusse,Economic development,USD,"7,851,182.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,7851182.0,Municipality,Other,7851182.0
568,Social Inclusion - National campaign International Children Day June 1; Promote gender equality at the community level,Oecusse,Gender Equality/Equality and Inclusion,USD,"314,965.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,314965.0,Municipality,Other,314965.0
569,Tourism - Education for the Environment; Promotion of Timor-Leste,Oecusse,"Tourism, Recreation, and Sport",USD,"51,147.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,51147.0,Municipality,Other,51147.0
570,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Oecusse,Economic development,USD,"189,497.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,189497.0,Municipality,Other,189497.0
571,"Agriculture, Horticulture, Coffee, and Indrustrial Plants - Use of water resources for agricultural purposes; Food Security Policy; Production and Productivity",Oecusse,Agriculture,USD,"1,190,445.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,1190445.0,Municipality,Other,1190445.0
572,"Livestock Veterinary and Technology - Production, Productivity of Animal Products; Animal Disease Control",Oecusse,Agriculture,USD,"72,720.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,72720.0,Municipality,Other,72720.0
573,"Fisheries, Aquaculture and Aquatic Resources Management - Fishing and Aquaculture Production and Productivity",Oecusse,Agriculture,USD,"62,793.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,62793.0,Municipality,Other,62793.0
574,Sustainable Management of Forest Resources - Conservation and Protection of Forest Resources,Oecusse,Agriculture,USD,"29,400.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,29400.0,Municipality,Other,29400.0
581,Residence Rehabilitation to Support Decentralization Program,Aileu,Construction,USD,"147,735.43",2023,2024,GovTL,GovTL,Completed,5. Job & Social Protection,4. Institutional Framework,2024.0,Government of Timor Leste,GovTL,Completed,147735.43,Municipality,Other,147735.43
582,Construction of Dom Baumeta garden including fence in Seloi Malere suco,Aileu,Construction,USD,"299,303.00",2023,2024,GovTL,GovTL,Completed,5. Job & Social Protection,4. Institutional Framework,2024.0,Government of Timor Leste,GovTL,Completed,299303.0,Municipality,Other,299303.0
583,Construction of Water Supply and Pump System from Oil Spring to New Susekar Post,Aileu,Construction,USD,"48,608.00",2023,2024,GovTL,GovTL,Completed,2. Energy Access & Affordability,2. Infrastructure Development,2024.0,Government of Timor Leste,GovTL,Completed,48608.0,Municipality,Other,48608.0
584,Rehabilitation of Timor Hall including garden including wall,Aileu,Construction,USD,"158,436.00",2023,2024,GovTL,GovTL,Completed,5. Job & Social Protection,3. Economic Development,2024.0,Government of Timor Leste,GovTL,Completed,158436.0,Municipality,Other,158436.0
585,"Rehabilitation of ADM Residence, Aileu Municipality",Aileu,Construction,USD,"49,433.00",2023,2024,GovTL,GovTL,Completed,5. Job & Social Protection,1. Social Capital,2024.0,Government of Timor Leste,GovTL,Completed,49433.0,Municipality,Other,49433.0
586,Construction of indoor garden including fence,Aileu,Construction,USD,"189,381.00",2023,2024,GovTL,GovTL,Completed,5. Job & Social Protection,3. Economic Development,2024.0,Government of Timor Leste,GovTL,Completed,189381.0,Municipality,Other,189381.0
587,Raelete Bandudato Landfill Construction,Aileu,Construction,USD,"70,441.00",2023,2024,GovTL,GovTL,Completed,5. Job & Social Protection,3. Economic Development,2024.0,Government of Timor Leste,GovTL,Completed,70441.0,Municipality,Other,70441.0
